,total_cell_ratio,dead_density,empty_area_ratio,live_density
1_00.jpg,100,15,0,85
1_01.jpg,100,0,0,100
1_02.jpg,100,15,0,85
1_10.jpg,90,5,10,95
1_11.jpg,95,5,5,95
1_12.jpg,100,10,0,90
1_20.jpg,90,15,10,85
1_21.jpg,80,5,20,95
1_22.jpg,100,5,0,95
1_30.jpg,95,15,5,85
1_31.jpg,95,15,5,85
1_32.jpg,95,15,5,85
10_00.jpg,100,5,0,95
10_01.jpg,100,10,0,90
10_02.jpg,100,10,0,90
10_10.jpg,100,15,0,85
10_11.jpg,100,5,0,95
10_12.jpg,100,15,0,85
10_20.jpg,100,15,0,85
10_21.jpg,90,25,10,75
10_22.jpg,100,10,0,90
10_30.jpg,100,15,0,85
10_31.jpg,100,5,0,95
10_32.jpg,100,5,0,95
100_00.jpg,50,15,50,85
100_01.jpg,60,15,40,85
100_02.jpg,50,25,50,75
100_10.jpg,50,45,50,55
100_11.jpg,60,55,40,45
100_12.jpg,60,35,40,65
100_20.jpg,40,25,60,75
100_21.jpg,60,15,40,85
100_22.jpg,60,5,40,95
100_30.jpg,50,45,50,55
100_31.jpg,50,45,50,55
100_32.jpg,60,15,40,85
101_00.jpg,60,55,40,45
101_01.jpg,70,35,30,65
101_02.jpg,70,25,30,75
101_10.jpg,80,5,20,95
101_11.jpg,50,35,50,65
101_12.jpg,70,25,30,75
101_20.jpg,80,5,20,95
101_21.jpg,60,15,40,85
101_22.jpg,70,35,30,65
101_30.jpg,80,15,20,85
101_31.jpg,70,15,30,85
101_32.jpg,70,15,30,85
102_00.jpg,80,5,20,95
102_01.jpg,80,5,20,95
102_02.jpg,90,0,10,100
102_10.jpg,80,5,20,95
102_11.jpg,90,5,10,95
102_12.jpg,90,5,10,95
102_20.jpg,90,5,10,95
102_21.jpg,90,0,10,100
102_22.jpg,80,5,20,95
102_30.jpg,80,5,20,95
102_31.jpg,90,0,10,100
102_32.jpg,85,0,15,100
103_00.jpg,85,35,15,65
103_01.jpg,80,0,20,100
103_02.jpg,80,5,20,95
103_10.jpg,80,0,20,100
103_11.jpg,70,0,30,100
103_12.jpg,60,25,40,75
103_20.jpg,70,25,30,75
103_21.jpg,70,35,30,65
103_22.jpg,70,5,30,95
103_30.jpg,50,5,50,95
103_31.jpg,60,0,40,100
103_32.jpg,70,5,30,95
104_00.jpg,100,15,0,85
104_01.jpg,100,25,0,75
104_02.jpg,100,35,0,65
104_10.jpg,100,5,0,95
104_11.jpg,100,15,0,85
104_12.jpg,100,25,0,75
104_20.jpg,95,10,5,90
104_21.jpg,100,10,0,90
104_22.jpg,95,10,5,90
104_30.jpg,95,10,5,90
104_31.jpg,80,40,20,60
104_32.jpg,95,15,5,85
105_00.jpg,100,10,0,90
105_01.jpg,70,10,30,90
105_02.jpg,90,20,10,80
105_10.jpg,90,10,10,90
105_11.jpg,100,5,0,95
105_12.jpg,90,5,10,95
105_20.jpg,100,5,0,95
105_21.jpg,100,5,0,95
105_22.jpg,90,5,10,95
105_30.jpg,100,10,0,90
105_31.jpg,100,5,0,95
105_32.jpg,100,5,0,95
106_00.jpg,90,5,10,95
106_01.jpg,95,5,5,95
106_02.jpg,70,5,30,95
106_10.jpg,95,5,5,95
106_11.jpg,95,5,5,95
106_12.jpg,95,10,5,90
106_20.jpg,90,15,10,85
106_21.jpg,80,20,20,80
106_22.jpg,80,10,20,90
106_30.jpg,70,10,30,90
106_31.jpg,70,10,30,90
106_32.jpg,70,5,30,95
107_00.jpg,70,20,30,80
107_01.jpg,80,20,20,80
107_02.jpg,80,20,20,80
107_10.jpg,100,20,0,80
107_11.jpg,100,10,0,90
107_12.jpg,90,20,10,80
107_20.jpg,100,20,0,80
107_21.jpg,100,10,0,90
107_22.jpg,95,5,5,95
107_30.jpg,100,20,0,80
107_31.jpg,100,10,0,90
107_32.jpg,100,10,0,90
108_00.jpg,100,20,0,80
108_01.jpg,100,30,0,70
108_02.jpg,100,30,0,70
108_10.jpg,100,30,0,70
108_11.jpg,100,30,0,70
108_12.jpg,100,30,0,70
108_20.jpg,100,30,0,70
108_21.jpg,100,40,0,60
108_22.jpg,100,20,0,80
108_30.jpg,100,20,0,80
108_31.jpg,100,10,0,90
108_32.jpg,100,20,0,80
109_00.jpg,80,10,20,90
109_01.jpg,70,10,30,90
109_02.jpg,80,10,20,90
109_10.jpg,90,15,10,85
109_11.jpg,90,10,10,90
109_12.jpg,95,0,5,100
109_20.jpg,100,5,0,95
109_21.jpg,100,5,0,95
109_22.jpg,100,10,0,90
109_30.jpg,100,20,0,80
109_31.jpg,100,15,0,85
109_32.jpg,100,10,0,90
11_00.jpg,90,30,10,70
11_01.jpg,90,20,10,80
11_02.jpg,85,20,15,80
11_10.jpg,90,20,10,80
11_11.jpg,90,25,10,75
11_12.jpg,90,25,10,75
11_20.jpg,90,25,10,75
11_21.jpg,90,25,10,75
11_22.jpg,90,20,10,80
11_30.jpg,95,25,5,75
11_31.jpg,95,25,5,75
11_32.jpg,95,30,5,70
110_00.jpg,70,20,30,80
110_01.jpg,75,30,25,70
110_02.jpg,75,30,25,70
110_10.jpg,60,30,40,70
110_11.jpg,70,20,30,80
110_12.jpg,70,30,30,70
110_20.jpg,70,30,30,70
110_21.jpg,70,15,30,85
110_22.jpg,70,20,30,80
110_30.jpg,85,20,15,80
110_31.jpg,85,10,15,90
110_32.jpg,70,10,30,90
111_00.jpg,85,20,15,80
111_01.jpg,80,10,20,90
111_02.jpg,80,10,20,90
111_10.jpg,80,30,20,70
111_11.jpg,80,20,20,80
111_12.jpg,70,10,30,90
111_20.jpg,100,20,0,80
111_21.jpg,100,15,0,85
111_22.jpg,90,20,10,80
111_30.jpg,100,20,0,80
111_31.jpg,100,30,0,70
111_32.jpg,100,20,0,80
112_00.jpg,100,30,0,70
112_01.jpg,100,30,0,70
112_02.jpg,100,20,0,80
112_10.jpg,100,30,0,70
112_11.jpg,100,20,0,80
112_12.jpg,100,20,0,80
112_20.jpg,100,20,0,80
112_21.jpg,95,20,5,80
112_22.jpg,90,20,10,80
112_30.jpg,90,10,10,90
112_31.jpg,95,10,5,90
112_32.jpg,100,5,0,95
113_00.jpg,nan,nan,nan,nan
113_01.jpg,nan,nan,nan,nan
113_02.jpg,nan,nan,nan,nan
113_10.jpg,nan,nan,nan,nan
113_11.jpg,nan,nan,nan,nan
113_12.jpg,nan,nan,nan,nan
113_20.jpg,nan,nan,nan,nan
113_21.jpg,nan,nan,nan,nan
113_22.jpg,nan,nan,nan,nan
113_30.jpg,nan,nan,nan,nan
113_31.jpg,nan,nan,nan,nan
113_32.jpg,nan,nan,nan,nan
114_00.jpg,nan,nan,nan,nan
114_01.jpg,nan,nan,nan,nan
114_02.jpg,nan,nan,nan,nan
114_10.jpg,nan,nan,nan,nan
114_11.jpg,nan,nan,nan,nan
114_12.jpg,nan,nan,nan,nan
114_20.jpg,nan,nan,nan,nan
114_21.jpg,nan,nan,nan,nan
114_22.jpg,nan,nan,nan,nan
114_30.jpg,nan,nan,nan,nan
114_31.jpg,nan,nan,nan,nan
114_32.jpg,nan,nan,nan,nan
115_00.jpg,100,100,0,0
115_01.jpg,60,100,40,0
115_02.jpg,30,100,70,0
115_10.jpg,80,100,20,0
115_11.jpg,60,100,40,0
115_12.jpg,30,100,70,0
115_20.jpg,100,100,0,0
115_21.jpg,70,100,30,0
115_22.jpg,60,100,40,0
115_30.jpg,100,100,0,0
115_31.jpg,70,100,30,0
115_32.jpg,20,100,80,0
116_00.jpg,10,100,90,0
116_01.jpg,15,100,85,0
116_02.jpg,15,100,85,0
116_10.jpg,5,100,95,0
116_11.jpg,15,100,85,0
116_12.jpg,15,100,85,0
116_20.jpg,15,100,85,0
116_21.jpg,5,100,95,0
116_22.jpg,10,100,90,0
116_30.jpg,10,100,90,0
116_31.jpg,5,100,95,0
116_32.jpg,5,100,95,0
117_00.jpg,95,5,5,95
117_01.jpg,95,10,5,90
117_02.jpg,80,10,20,90
117_10.jpg,95,5,5,95
117_11.jpg,95,10,5,90
117_12.jpg,95,10,5,90
117_20.jpg,100,10,0,90
117_21.jpg,100,5,0,95
117_22.jpg,100,5,0,95
117_30.jpg,100,5,0,95
117_31.jpg,100,5,0,95
117_32.jpg,100,10,0,90
118_00.jpg,100,15,0,85
118_01.jpg,100,5,0,95
118_02.jpg,100,10,0,90
118_10.jpg,100,10,0,90
118_11.jpg,100,15,0,85
118_12.jpg,100,15,0,85
118_20.jpg,100,5,0,95
118_21.jpg,100,5,0,95
118_22.jpg,100,5,0,95
118_30.jpg,100,5,0,95
118_31.jpg,100,5,0,95
118_32.jpg,100,15,0,85
119_00.jpg,95,5,5,95
119_01.jpg,95,10,5,90
119_02.jpg,95,15,5,85
119_10.jpg,100,10,0,90
119_11.jpg,95,10,5,90
119_12.jpg,95,10,5,90
119_20.jpg,95,10,5,90
119_21.jpg,100,5,0,95
119_22.jpg,95,10,5,90
119_30.jpg,95,10,5,90
119_31.jpg,95,10,5,90
119_32.jpg,95,10,5,90
12_00.jpg,95,5,5,95
12_01.jpg,95,10,5,90
12_02.jpg,95,15,5,85
12_10.jpg,95,10,5,90
12_11.jpg,95,10,5,90
12_12.jpg,95,10,5,90
12_20.jpg,95,20,5,80
12_21.jpg,95,10,5,90
12_22.jpg,95,5,5,95
12_30.jpg,95,10,5,90
12_31.jpg,95,10,5,90
12_32.jpg,90,20,10,80
120_00.jpg,100,100,0,0
120_01.jpg,100,100,0,0
120_02.jpg,100,100,0,0
120_10.jpg,100,100,0,0
120_11.jpg,100,100,0,0
120_12.jpg,100,90,0,10
120_20.jpg,100,80,0,20
120_21.jpg,100,80,0,20
120_22.jpg,100,70,0,30
120_30.jpg,100,80,0,20
120_31.jpg,100,60,0,40
120_32.jpg,100,40,0,60
121_00.jpg,100,95,0,5
121_01.jpg,100,95,0,5
121_02.jpg,100,95,0,5
121_10.jpg,100,95,0,5
121_11.jpg,100,95,0,5
121_12.jpg,100,95,0,5
121_20.jpg,100,95,0,5
121_21.jpg,100,95,0,5
121_22.jpg,100,60,0,40
121_30.jpg,100,40,0,60
121_31.jpg,100,50,0,50
121_32.jpg,100,40,0,60
122_00.jpg,100,40,0,60
122_01.jpg,100,50,0,50
122_02.jpg,100,50,0,50
122_10.jpg,100,50,0,50
122_11.jpg,100,40,0,60
122_12.jpg,100,60,0,40
122_20.jpg,100,55,0,45
122_21.jpg,100,60,0,40
122_22.jpg,100,90,0,10
122_30.jpg,100,80,0,20
122_31.jpg,100,70,0,30
122_32.jpg,100,60,0,40
123_00.jpg,100,80,0,20
123_01.jpg,100,90,0,10
123_02.jpg,100,95,0,5
123_10.jpg,100,95,0,5
123_11.jpg,100,95,0,5
123_12.jpg,100,95,0,5
123_20.jpg,100,95,0,5
123_21.jpg,100,95,0,5
123_22.jpg,100,95,0,5
123_30.jpg,100,95,0,5
123_31.jpg,100,95,0,5
123_32.jpg,100,95,0,5
124_00.jpg,100,90,0,10
124_01.jpg,100,90,0,10
124_02.jpg,100,90,0,10
124_10.jpg,100,90,0,10
124_11.jpg,100,70,0,30
124_12.jpg,100,90,0,10
124_20.jpg,100,80,0,20
124_21.jpg,100,80,0,20
124_22.jpg,100,90,0,10
124_30.jpg,95,90,5,10
124_31.jpg,100,85,0,15
124_32.jpg,100,90,0,10
125_00.jpg,100,60,0,40
125_01.jpg,100,90,0,10
125_02.jpg,100,90,0,10
125_10.jpg,100,95,0,5
125_11.jpg,100,95,0,5
125_12.jpg,100,95,0,5
125_20.jpg,100,90,0,10
125_21.jpg,100,95,0,5
125_22.jpg,100,95,0,5
125_30.jpg,100,80,0,20
125_31.jpg,100,95,0,5
125_32.jpg,100,95,0,5
126_00.jpg,95,50,5,50
126_01.jpg,95,60,5,40
126_02.jpg,100,70,0,30
126_10.jpg,100,70,0,30
126_11.jpg,100,70,0,30
126_12.jpg,100,70,0,30
126_20.jpg,100,75,0,25
126_21.jpg,100,70,0,30
126_22.jpg,100,75,0,25
126_30.jpg,100,40,0,60
126_31.jpg,100,70,0,30
126_32.jpg,100,70,0,30
127_00.jpg,100,90,0,10
127_01.jpg,100,95,0,5
127_02.jpg,100,95,0,5
127_10.jpg,100,95,0,5
127_11.jpg,100,95,0,5
127_12.jpg,100,80,0,20
127_20.jpg,100,85,0,15
127_21.jpg,100,85,0,15
127_22.jpg,100,90,0,10
127_30.jpg,100,90,0,10
127_31.jpg,100,75,0,25
127_32.jpg,100,75,0,25
128_00.jpg,,,100,100
128_01.jpg,,,100,100
128_02.jpg,,,100,100
128_10.jpg,,,100,100
128_11.jpg,,,100,100
128_12.jpg,,,100,100
128_20.jpg,,,100,100
128_21.jpg,,,100,100
128_22.jpg,,,100,100
128_30.jpg,,,100,100
128_31.jpg,,,100,100
128_32.jpg,,,100,100
129_00.jpg,,,100,100
129_01.jpg,,,100,100
129_02.jpg,,,100,100
129_10.jpg,,,100,100
129_11.jpg,,,100,100
129_12.jpg,,,100,100
129_20.jpg,,,100,100
129_21.jpg,,,100,100
129_22.jpg,,,100,100
129_30.jpg,,,100,100
129_31.jpg,,,100,100
129_32.jpg,,,100,100
13_00.jpg,,,100,100
13_01.jpg,,,100,100
13_02.jpg,,,100,100
13_10.jpg,,,100,100
13_11.jpg,,,100,100
13_12.jpg,,,100,100
13_20.jpg,,,100,100
13_21.jpg,,,100,100
13_22.jpg,,,100,100
13_30.jpg,,,100,100
13_31.jpg,,,100,100
13_32.jpg,,,100,100
130_00.jpg,,,100,100
130_01.jpg,,,100,100
130_02.jpg,,,100,100
130_10.jpg,,,100,100
130_11.jpg,,,100,100
130_12.jpg,,,100,100
130_20.jpg,,,100,100
130_21.jpg,,,100,100
130_22.jpg,,,100,100
130_30.jpg,,,100,100
130_31.jpg,,,100,100
130_32.jpg,,,100,100
131_00.jpg,,,100,100
131_01.jpg,,,100,100
131_02.jpg,,,100,100
131_10.jpg,,,100,100
131_11.jpg,,,100,100
131_12.jpg,,,100,100
131_20.jpg,,,100,100
131_21.jpg,,,100,100
131_22.jpg,,,100,100
131_30.jpg,,,100,100
131_31.jpg,,,100,100
131_32.jpg,,,100,100
132_00.jpg,,,100,100
132_01.jpg,,,100,100
132_02.jpg,,,100,100
132_10.jpg,,,100,100
132_11.jpg,,,100,100
132_12.jpg,,,100,100
132_20.jpg,,,100,100
132_21.jpg,,,100,100
132_22.jpg,,,100,100
132_30.jpg,,,100,100
132_31.jpg,,,100,100
132_32.jpg,,,100,100
133_00.jpg,5,90,95,10
133_01.jpg,5,90,95,10
133_02.jpg,5,60,95,40
133_10.jpg,10,100,90,0
133_11.jpg,5,80,95,20
133_12.jpg,10,90,90,10
133_20.jpg,20,70,80,30
133_21.jpg,25,70,75,30
133_22.jpg,25,80,75,20
133_30.jpg,10,70,90,30
133_31.jpg,30,60,70,40
